Date,Budget ,Week,Week2
2024-01-01,"15,911,976.57",1,25
2024-01-02,"8,456,714.77",1,25
2024-01-03,"8,456,714.84",1,25
2024-01-04,"8,456,714.77",1,25
2024-01-05,"10,348,348.45",1,25
2024-01-06,"15,244,341.16",1,30
2024-01-07,"15,355,613.76",1,30
2024-01-08,"8,346,058.89",2,25
2024-01-09,"8,234,778.09",2,25
2024-01-10,"8,234,778.14",2,25
2024-01-11,"8,234,778.08",2,25
2024-01-12,"9,458,866.80",2,25
2024-01-13,"13,353,694.22",2,30
2024-01-14,"13,798,817.42",2,30
2024-01-15,"7,898,392.56",3,25
2024-01-16,"7,787,147.76",3,25
2024-01-17,"7,787,147.82",3,25
2024-01-18,"7,787,147.76",3,25
2024-01-19,"8,899,597.40",3,25
2024-01-20,"12,236,946.41",3,30
2024-01-21,"12,570,681.36",3,30
2024-01-22,"7,800,763.36",4,25
2024-01-23,"7,800,763.59",4,25
2024-01-24,"10,586,750.72",4,25
2024-01-25,"12,815,540.21",4,25
2024-01-26,"11,701,145.35",4,25
2024-01-27,"15,601,527.21",4,30
2024-01-28,"15,601,527.21",4,30
2024-01-29,"10,232,052.67",5,25
2024-01-30,"10,009,616.88",5,25
2024-01-31,"10,009,616.95",5,25
2024-02-01,"11,121,796.51",5,25
2024-02-02,"11,677,886.36",5,25
2024-02-03,"15,570,515.12",5,30
2024-02-04,"15,570,515.12",5,30
2024-02-05,"10,586,116.00",6,25
2024-02-06,"11,143,280.06",6,25
2024-02-07,"11,700,444.08",6,25
2024-02-08,"15,377,726.58",6,25
2024-02-09,"16,714,920.16",6,25
2024-02-10,"12,814,772.03",6,30
2024-02-11,"12,814,772.03",6,30
2024-02-12,"11,120,352.40",7,25
2024-02-13,"8,340,264.43",7,25
2024-02-14,"8,340,264.43",7,25
2024-02-15,"8,340,264.49",7,25
2024-02-16,"8,896,282.12",7,25
2024-02-17,"11,676,370.22",7,30
2024-02-18,"11,676,370.22",7,30
2024-02-19,"9,124,594.23",8,25
2024-02-20,"8,679,492.23",8,25
2024-02-21,"8,679,492.15",8,25
2024-02-22,"8,679,492.08",8,25
2024-02-23,"11,906,482.84",8,25
2024-02-24,"15,578,575.60",8,30
2024-02-25,"15,578,575.60",8,30
2024-02-26,"10,574,432.07",9,25
2024-02-27,"10,351,812.37",9,25
2024-02-28,"10,351,812.44",9,25
2024-03-01,"11,687,530.12",9,25
2024-03-02,"16,919,091.22",9,25
2024-03-03,"16,919,091.22",9,30
2024-03-04,"10,337,034.66",9,30
2024-03-05,"9,781,280.08",10,25
2024-03-06,"9,781,280.20",10,25
2024-03-07,"9,781,280.15",10,25
2024-03-08,"11,003,940.12",10,25
2024-03-09,"15,338,825.61",10,25
2024-03-10,"15,338,825.61",10,30
2024-03-11,"8,674,623.57",10,30
2024-03-12,"8,452,197.08",11,25
2024-03-13,"8,452,197.38",11,25
2024-03-14,"8,452,197.31",11,25
2024-03-15,"9,786,754.67",11,25
2024-03-16,"14,235,279.67",11,25
2024-03-17,"14,235,279.67",11,30
2024-03-18,"8,003,579.96",11,30
2024-03-19,"7,892,418.98",12,25
2024-03-20,"7,781,258.14",12,25
2024-03-21,"7,781,258.09",12,25
2024-03-22,"8,892,866.45",12,25
2024-03-23,"12,894,656.23",12,25
2024-03-24,"12,894,656.23",12,30
2024-03-25,"10,596,695.69",12,30
2024-03-26,"9,481,254.00",13,25
2024-03-27,"9,481,254.15",13,25
2024-03-28,"11,042,872.29",13,25
2024-03-29,"11,154,416.54",13,25
